"Site 1: Coral-algal reef flat, One Tree Island",,,,,,,,,,,,,
,,,,,,,,,,,,,
Marginopora vertebralis,,,,,,,,,,,,,
Sample Number,Size (number),,Colour (number),,,,,Percentages ,,,,,
,"Small, non-bleached","Large, non-bleached","Small, mottled ","Large, mottled","Small, bleached","Large, bleached",Sum,"Small, non-bleached","Large, non-bleached","Small, mottled ","Large, mottled","Small, bleached","Large, bleached"
1,42,11,23,5,10,9,100,42,11,23,5,10,9
2,62,3,12,1,27,12,117,52.99145299,2.564102564,10.25641026,0.8547008547,23.07692308,10.25641026
3,50,18,3,3,11,11,96,52.08333333,18.75,3.125,3.125,11.45833333,11.45833333
4,73,15,10,2,14,5,119,61.34453782,12.60504202,8.403361345,1.680672269,11.76470588,4.201680672
5,60,2,7,3,12,2,86,69.76744186,2.325581395,8.139534884,3.488372093,13.95348837,2.325581395
6,31,5,1,0,12,4,53,58.49056604,9.433962264,1.886792453,0,22.64150943,7.547169811
7,36,12,3,1,8,3,63,57.14285714,19.04761905,4.761904762,1.587301587,12.6984127,4.761904762
8,41,2,11,1,11,7,73,56.16438356,2.739726027,15.06849315,1.369863014,15.06849315,9.589041096
9,36,2,8,1,18,5,70,51.42857143,2.857142857,11.42857143,1.428571429,25.71428571,7.142857143
10,57,24,10,2,8,18,119,47.89915966,20.16806723,8.403361345,1.680672269,6.722689076,15.12605042
Average,48.8,9.4,8.8,1.9,13.1,7.6,89.6,54.93123038,10.14912434,9.447342962,2.021515352,15.30988407,8.140902889
Baculogypsina sphaerulata,,,,,,,,"Small, non-bleached","Large, non-bleached","Small, mottled ","Large, mottled","Small, bleached","Large, bleached"
Sample Number,Colour (number),,,,,,,,,,,,
,Non-bleached (coloured with no white bloteches),Motted/Bleached (white with coloured blotches),,,All,Precentage non-bleached,Precetage motted/bleached,,,,,,
1,54,46,,,100,54,46,,,,,,
2,81,19,,,100,81,19,,,,,,
3,82,18,,,100,82,18,,,,,,
4,66,34,,,100,66,34,,,,,,
5,51,49,,,100,51,49,,,,,,
6,45,10,,,55,81.81818182,18.18181818,,,,,,
7,55,115,,,170,32.35294118,67.64705882,,,,,,
8,19,81,,,100,19,81,,,,,,
9,69,31,,,100,69,31,,,,,,
10,70,56,,,126,55.55555556,44.44444444,,,,,,
,,,,Average,105.1,59.17266786,40.82733214,,,,,,
