"Site 2: Leeward/ Entrance, One Tree Island",,,,,,,,,,,,,
,,,,,,,,,,,,,
Marginopora vertebralis,,,,,,,,,,,,,
Sample Number,,,,,,,,Percentages ,,,,,
,"Small, non-bleached","Large, non-bleached","Small, mottled ","Large, mottled","Small, bleached","Large, bleached",Sum,"Small, non-bleached","Large, non-bleached","Small, mottled ","Large, mottled","Small, bleached","Large, bleached"
1,0,0,0,1,36,32,69,0,0,0,1.449275362,52.17391304,46.37681159
2,1,1,2,7,56,18,85,1.176470588,1.176470588,2.352941176,8.235294118,65.88235294,21.17647059
3,0,0,2,0,15,0,17,0,0,11.76470588,0,88.23529412,0
4,0,0,1,0,1,2,4,0,0,25,0,25,50
5,2,0,4,2,40,15,63,3.174603175,0,6.349206349,3.174603175,63.49206349,23.80952381
6,0,0,8,0,31,8,47,0,0,17.0212766,0,65.95744681,17.0212766
7,0,0,4,0,19,20,43,0,0,9.302325581,0,44.18604651,46.51162791
8,0,0,10,4,26,9,49,0,0,20.40816327,8.163265306,53.06122449,18.36734694
9,1,0,11,2,18,29,61,1.639344262,0,18.03278689,3.278688525,29.50819672,47.54098361
10,0,0,2,0,68,24,94,0,0,2.127659574,0,72.34042553,25.53191489
Average,0.4,0.1,4.4,1.6,31,15.7,53.2,0.5990418025,0.1176470588,11.23590653,2.430112649,55.98369637,29.63359559
Baculogypsina sphaerulata,,,,,,,,,,,,,
Sample Number,Colour (number),,,,,,,,,,,,
,Non-bleached,Motted or bleached,,All,Precentage non-bleached,Precetage motted/bleached,,,,,,,
1,8,92,,100,8,92,,,,,,,
2,10,90,,100,10,90,,,,,,,
3,21,79,,100,21,79,,,,,,,
4,16,86,,102,15.68627451,84.31372549,,,,,,,
5,26,74,,100,26,74,,,,,,,
6,8,77,,85,9.411764706,90.58823529,,,,,,,
7,24,76,,100,24,76,,,,,,,
8,13,87,,100,13,87,,,,,,,
9,32,71,,103,31.06796117,68.93203883,,,,,,,
10,24,37,,61,39.3442623,60.6557377,,,,,,,
,,Leaward,Average,95.1,19.75102627,80.24897373,,,,,,,
,,Coral algal,Average,105.1,59.17266786,40.82733214,,,,,,,
